condition,case_id,joint_index,radius_m,local_chamfer_mm2
A,dev_arm-0573e1e127,0,0.11411956115839975,0.0008925666799818006
A,dev_arm-0573e1e127,1,0.11411956115839975,0.0007582616311903421
A,dev_arm-0573e1e127,2,0.11411956115839975,0.0006618644243480683
A,dev_arm-0573e1e127,3,0.11411956115839975,0.0006089929688018953
A,dev_arm-0573e1e127,4,0.11411956115839975,0.00040293915025749915
A,dev_arm-0573e1e127,5,0.11411956115839975,0.0016342658602864866
A,dev_arm-0573e1e127,6,0.11411956115839975,0.0008513316114112532
A,dev_arm-0573e1e127,7,0.11411956115839975,0.001626089881497392
A,dev_arm-0573e1e127,8,0.11411956115839975,0.0017077603965424616
A,dev_arm-07307859e2,0,0.11897594799911629,0.00046380289076943394
A,dev_arm-07307859e2,1,0.11897594799911629,0.000447782988413178
A,dev_arm-07307859e2,2,0.11897594799911629,0.00045935225436813235
A,dev_arm-07307859e2,3,0.11897594799911629,0.0013516887425597585
A,dev_arm-07307859e2,4,0.11897594799911629,0.0008575271789970555
A,dev_arm-07307859e2,5,0.11897594799911629,0.0008472843511421182
A,dev_arm-07307859e2,6,0.11897594799911629,0.0013870834314686424
A,dev_arm-07307859e2,7,0.11897594799911629,0.0017286918664005456
A,dev_arm-07307859e2,8,0.11897594799911629,0.001782995930065918
A,dev_arm-07307859e2,9,0.11897594799911629,0.0016418792093885238
A,dev_arm-07307859e2,10,0.11897594799911629,0.001857034628080869
A,dev_arm-10f5f05385,0,0.07864880159975975,0.0005866528822560087
A,dev_arm-10f5f05385,1,0.07864880159975975,0.0005830098292948689
A,dev_arm-10f5f05385,2,0.07864880159975975,0.00023111873567776956
A,dev_arm-10f5f05385,3,0.07864880159975975,
A,dev_arm-10f5f05385,4,0.07864880159975975,
