case_id,version,link_id,gt_link_index,status,chamfer,hd95,hausdorff_max,voxel_iou
dev_arm-43fa322555,V1,L10,10,SUCCESS,0.010402798340723458,0.2259355451491768,0.2342689670089138,0.0784313725490196
dev_arm-43fa322555,V1,L11,11,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L12,12,SUCCESS,0.0007061131279783586,0.059117019941783505,0.06591120613651719,0.26666666666666666
dev_arm-43fa322555,V1,L13,13,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L14,14,SUCCESS,0.0018892613929407222,0.09519090145430888,0.09552885594493096,0.13636363636363635
dev_arm-43fa322555,V1,L15,15,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V1,L16,16,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L0,0,SUCCESS,0.007131241874173259,0.22354404561912777,0.23981304689190613,0.32608695652173914
dev_arm-43fa322555,V2,L1,1,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L2,2,SUCCESS,0.005356980753056734,0.16514571374596915,0.1717108992227882,0.15384615384615385
dev_arm-43fa322555,V2,L3,3,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L4,4,SUCCESS,0.0031943728784094546,0.1404488274276608,0.1592316990633764,0.3
dev_arm-43fa322555,V2,L5,5,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L6,6,SUCCESS,0.002436948184923264,0.10259167784918714,0.10949215286932486,0.09302325581395349
dev_arm-43fa322555,V2,L7,7,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L8,8,SUCCESS,0.010442370214779086,0.2493622751132413,0.27270289053073304,0.3291139240506329
dev_arm-43fa322555,V2,L9,9,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L10,10,SUCCESS,0.009051050449206705,0.21370668607291227,0.22191225643226845,0.14545454545454545
dev_arm-43fa322555,V2,L11,11,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L12,12,SUCCESS,0.0004725969872802019,0.047877359444763304,0.053585645803028784,0.4
dev_arm-43fa322555,V2,L13,13,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L14,14,SUCCESS,0.0016326154797919926,0.09195097286626619,0.09232623821663011,0.25
dev_arm-43fa322555,V2,L15,15,GT_LINK_MESH_MISSING,,,,
dev_arm-43fa322555,V2,L16,16,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L0,0,GT_LINK_MESH_MISSING,,,,
dev_arm-551a9c392e,V0,L1,1,GT_LINK_MESH_MISSING,,,,
