case_id,link_id,view,crop_kind,crop_path,bbox_px,localization_method,gt_geometry_used
dev_arm-4c7b408826,L9,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L9\isometric_proximal_joint_crop.png,"[195, 59, 295, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-4c7b408826,L9,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-4c7b408826\crops\L9\isometric_distal_joint_crop.png,"[209, 59, 309, 381]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L0,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L0\front_link_crop.png,"[0, 93, 112, 303]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L0,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L0\front_proximal_joint_crop.png,"[0, 93, 100, 303]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L0,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L0\front_distal_joint_crop.png,"[9, 93, 109, 303]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L0,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L0\isometric_link_crop.png,"[3, 0, 108, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L0,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L0\isometric_proximal_joint_crop.png,"[0, 0, 100, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L0,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L0\isometric_distal_joint_crop.png,"[19, 0, 119, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L1,front,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L1\front_link_crop.png,"[18, 92, 130, 302]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L1,front,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L1\front_proximal_joint_crop.png,"[9, 93, 109, 303]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L1,front,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L1\front_distal_joint_crop.png,"[39, 92, 139, 302]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L1,isometric,link,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L1\isometric_link_crop.png,"[30, 0, 135, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L1,isometric,proximal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L1\isometric_proximal_joint_crop.png,"[19, 0, 119, 322]",silhouette_bbox_plus_urdf_link_order,False
dev_arm-dcc2b0ce1e,L1,isometric,distal,D:\CADtest\papertest\experiments\try3_freecad_full_workflow\runs\visual_agent\deterministic\dev_arm-dcc2b0ce1e\crops\L1\isometric_distal_joint_crop.png,"[46, 0, 146, 322]",silhouette_bbox_plus_urdf_link_order,False
