entity_id,manufacturer,name,source,is_audit30,ratio,feature_ok,failures,n_meshes,n_failed,faces,normal_spectral_entropy,curvature_entropy,dihedral_q90_deg,sharp_rate_30deg,complexity_score
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,ros-industrial,False,1.0,True,[],7,0,3164,0.8843533487745494,0.41231693358661925,41.4920433062699,0.17843756106862232,-0.18560011932026088
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,ros-industrial,False,0.5,True,[],7,0,1742,0.8843319073535665,0.44714386545883467,45.45913629470889,0.1948367796675878,-0.09758443112855957
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,ros-industrial,False,0.25,True,[],7,0,1144,0.8844098351167934,0.48570507927367595,49.13241383396648,0.2064650265811598,-0.014750364324167195
arm-0cf081ce97,Fanuc,M-710iC/50,ros-industrial,False,1.0,True,[],7,0,1454,0.9042322906781538,0.4623527814753164,42.79077447619874,0.1792660681469781,0.008519902535285284
arm-0cf081ce97,Fanuc,M-710iC/50,ros-industrial,False,0.5,True,[],7,0,1074,0.9042179909929344,0.48713432918872435,46.48814744397234,0.19549866109374536,0.08380591049238122
arm-0cf081ce97,Fanuc,M-710iC/50,ros-industrial,False,0.25,True,[],7,0,996,0.9042314535929745,0.49143479760498515,46.53898283671676,0.19846236416002744,0.09411011857628489
arm-ee37d02375,Fanuc,M-900iA/260L,ros-industrial,False,1.0,True,[],9,0,3479,0.8650123057945924,0.3642418333964104,46.71360520982162,0.16259731152904053,-0.36595665215467993
arm-ee37d02375,Fanuc,M-900iA/260L,ros-industrial,False,0.5,True,[],9,0,1824,0.8650824799885284,0.4608851609703464,54.802766595071006,0.1887740396184775,-0.17030126994656067
arm-ee37d02375,Fanuc,M-900iA/260L,ros-industrial,False,0.25,True,[],9,0,1160,0.864967094632758,0.5202987717676693,58.405366843556024,0.2445837627942015,0.01155643928887462
arm-ad68760742,Fanuc,M-900iB/700,ros-industrial,False,1.0,True,[],11,0,3750,0.8613838032285316,0.3573334627824273,38.74653875784128,0.12284455717685269,-0.509469240490997
arm-ad68760742,Fanuc,M-900iB/700,ros-industrial,False,0.5,True,[],11,0,2066,0.8614320057307292,0.47125907054671523,43.5126832644924,0.15772114138177176,-0.2972010314985021
arm-ad68760742,Fanuc,M-900iB/700,ros-industrial,False,0.25,True,[],11,0,1314,0.8612594910137052,0.5421371575583885,52.891172952188114,0.21219371331346665,-0.07491350772549893
arm-1ec48d9c1f,Fanuc,R-1000iA/80F,ros-industrial,False,1.0,True,[],7,0,1953,0.9148268003197954,0.46027743711444136,45.893071902642006,0.15808272564306233,0.05504312309049369
arm-1ec48d9c1f,Fanuc,R-1000iA/80F,ros-industrial,False,0.5,True,[],7,0,1213,0.9147415955220382,0.512015697518397,50.35082794522035,0.19081038546905646,0.1925706413831425
arm-1ec48d9c1f,Fanuc,R-1000iA/80F,ros-industrial,False,0.25,True,[],7,0,921,0.9145166390854828,0.5438917124145937,54.23435163357753,0.23520685589318052,0.32480510359779946
arm-f999a17088,Fanuc,R-2000iB/210F,ros-industrial,False,1.0,True,[],7,0,2366,0.8902485834102104,0.4138586042325655,50.303311742374405,0.18475863702947104,-0.08743233275350651
arm-f999a17088,Fanuc,R-2000iB/210F,ros-industrial,False,0.5,True,[],7,0,1258,0.8905534226625383,0.5043857670515459,51.95177537314834,0.2081052702291373,0.06400272631086616
arm-f999a17088,Fanuc,R-2000iB/210F,ros-industrial,False,0.25,True,[],7,0,786,0.8906605587085578,0.5694500491383856,55.16794638158608,0.25789126223278525,0.24090484190580086
arm-3179bae95f,Fanuc,R-2000iC/125L,ros-industrial,False,1.0,True,[],7,0,2788,0.8643682096693978,0.35706922706178107,33.74207655800002,0.11422317800056121,-0.5317596938970783
arm-3179bae95f,Fanuc,R-2000iC/125L,ros-industrial,False,0.5,True,[],7,0,1390,0.8643728601229667,0.44483517854285953,34.85738599051827,0.14275167634701957,-0.37904198771634356
arm-3179bae95f,Fanuc,R-2000iC/125L,ros-industrial,False,0.25,True,[],7,0,818,0.8639165092206035,0.5536910448546711,46.77797182301766,0.22460421810084796,-0.055214950744513824
arm-41abb9dda3,Fanuc,R-2000iC/165F,ros-industrial,False,1.0,True,[],7,0,2834,0.8895553997111774,0.38872648687205585,52.26260219816919,0.1818233987709424,-0.11445884901718001
arm-41abb9dda3,Fanuc,R-2000iC/165F,ros-industrial,False,0.5,True,[],7,0,1416,0.889588948752082,0.4582523116212306,49.995395640747844,0.18947465136677183,-0.036235896571784915
arm-41abb9dda3,Fanuc,R-2000iC/165F,ros-industrial,False,0.25,True,[],7,0,804,0.889572080190486,0.5458107010526413,56.383806165266975,0.2360618859920442,0.17575675920142125
arm-594e86b100,Fanuc,R-2000iC/210F,ros-industrial,False,1.0,True,[],7,0,2834,0.8895553997111774,0.38872648687205585,52.26260219816919,0.1818233987709424,-0.11445884901718001
arm-594e86b100,Fanuc,R-2000iC/210F,ros-industrial,False,0.5,True,[],7,0,1416,0.889588948752082,0.4582523116212306,49.995395640747844,0.18947465136677183,-0.036235896571784915
arm-594e86b100,Fanuc,R-2000iC/210F,ros-industrial,False,0.25,True,[],7,0,804,0.889572080190486,0.5458107010526413,56.383806165266975,0.2360618859920442,0.17575675920142125
