entity_id,manufacturer,name,v3_split,face_budget,approximation_ok,original_faces,target_faces,achieved_faces,mesh_count,failure_count,failures,normalized_chamfer,normalized_hausdorff,normal_error
arm-de477bc804,Fanuc,M-430iA/2P,development,5000,True,8286,5000,4992,7,0,[],0.023697163666085774,0.067618829089018,0.040079944042449536
arm-de477bc804,Fanuc,M-430iA/2P,development,10000,True,8286,10000,8286,7,0,[],0.0,0.0,0.0
arm-c10bd68349,Fanuc,M-6iB,development,1000,True,1866,1000,994,7,0,[],0.022988816549574295,0.0670873410243416,0.04252545432558537
arm-c10bd68349,Fanuc,M-6iB,development,5000,True,1866,5000,1866,7,0,[],0.0,0.0,0.0
arm-c10bd68349,Fanuc,M-6iB,development,10000,True,1866,10000,1866,7,0,[],0.0,0.0,0.0
arm-b7a6f7cec6,Fanuc,M-6iB/6S,development,1000,True,2188,1000,990,7,0,[],0.02459629394009963,0.07282393084923343,0.041524526712249904
arm-b7a6f7cec6,Fanuc,M-6iB/6S,development,5000,True,2188,5000,2188,7,0,[],0.0,0.0,0.0
arm-b7a6f7cec6,Fanuc,M-6iB/6S,development,10000,True,2188,10000,2188,7,0,[],0.0,0.0,0.0
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,development,1000,True,3164,1000,992,7,0,[],0.02171570563441972,0.0649283214686201,0.04182608801209398
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,development,5000,True,3164,5000,3164,7,0,[],0.0,0.0,0.0
arm-ac0ed3c3ba,Fanuc,M-710iC/45M,development,10000,True,3164,10000,3164,7,0,[],0.0,0.0,0.0
arm-0cf081ce97,Fanuc,M-710iC/50,development,1000,True,1454,1000,994,7,0,[],0.022468830411037095,0.06714256722370815,0.043363317180551975
arm-0cf081ce97,Fanuc,M-710iC/50,development,5000,True,1454,5000,1454,7,0,[],0.0,0.0,0.0
arm-0cf081ce97,Fanuc,M-710iC/50,development,10000,True,1454,10000,1454,7,0,[],0.0,0.0,0.0
arm-ee37d02375,Fanuc,M-900iA/260L,development,1000,True,3479,1000,1070,9,0,[],0.02079754252355352,0.06171483645342821,0.051632907768555586
arm-ee37d02375,Fanuc,M-900iA/260L,development,5000,True,3479,5000,3479,9,0,[],0.0,0.0,0.0
arm-ee37d02375,Fanuc,M-900iA/260L,development,10000,True,3479,10000,3479,9,0,[],0.0,0.0,0.0
arm-ad68760742,Fanuc,M-900iB/700,development,1000,True,3750,1000,992,11,0,[],0.020289723605062843,0.061602698387905885,0.04028483088478795
arm-ad68760742,Fanuc,M-900iB/700,development,5000,True,3750,5000,3750,11,0,[],0.0,0.0,0.0
arm-ad68760742,Fanuc,M-900iB/700,development,10000,True,3750,10000,3750,11,0,[],0.0,0.0,0.0
arm-f999a17088,Fanuc,R-2000iB/210F,development,1000,True,2366,1000,992,7,0,[],0.021884559007570262,0.06325417035479634,0.042311634483223684
arm-f999a17088,Fanuc,R-2000iB/210F,development,5000,True,2366,5000,2366,7,0,[],0.0,0.0,0.0
arm-f999a17088,Fanuc,R-2000iB/210F,development,10000,True,2366,10000,2366,7,0,[],0.0,0.0,0.0
arm-3179bae95f,Fanuc,R-2000iC/125L,validation,1000,True,2788,1000,994,7,0,[],0.020975323944178132,0.06297839097838101,0.03915399633359285
arm-3179bae95f,Fanuc,R-2000iC/125L,validation,5000,True,2788,5000,2788,7,0,[],0.0,0.0,0.0
arm-3179bae95f,Fanuc,R-2000iC/125L,validation,10000,True,2788,10000,2788,7,0,[],0.0,0.0,0.0
arm-41abb9dda3,Fanuc,R-2000iC/165F,validation,1000,True,2834,1000,994,7,0,[],0.021895656831305704,0.06411198702978023,0.041137337496863824
arm-41abb9dda3,Fanuc,R-2000iC/165F,validation,5000,True,2834,5000,2834,7,0,[],0.0,0.0,0.0
arm-41abb9dda3,Fanuc,R-2000iC/165F,validation,10000,True,2834,10000,2834,7,0,[],0.0,0.0,0.0
arm-594e86b100,Fanuc,R-2000iC/210F,validation,1000,True,2834,1000,994,7,0,[],0.02186550741855892,0.06376112844717521,0.042571179669699394
arm-594e86b100,Fanuc,R-2000iC/210F,validation,5000,True,2834,5000,2834,7,0,[],0.0,0.0,0.0
arm-594e86b100,Fanuc,R-2000iC/210F,validation,10000,True,2834,10000,2834,7,0,[],0.0,0.0,0.0
arm-6c6b40b711,Fanuc,R-2000iC/210L,validation,1000,True,4437,1000,996,7,0,[],0.021184821623621033,0.06117046445961016,0.03888053480546242
arm-6c6b40b711,Fanuc,R-2000iC/210L,validation,5000,True,4437,5000,4437,7,0,[],0.0,0.0,0.0
arm-6c6b40b711,Fanuc,R-2000iC/210L,validation,10000,True,4437,10000,4437,7,0,[],0.0,0.0,0.0
arm-42320609fa,Fanuc,R-2000iC/270F,validation,1000,True,1331,1000,1014,7,0,[],0.01691078345063253,0.052173872108519016,0.026714192373359688
arm-42320609fa,Fanuc,R-2000iC/270F,validation,5000,True,1331,5000,1331,7,0,[],0.0,0.0,0.0
arm-42320609fa,Fanuc,R-2000iC/270F,validation,10000,True,1331,10000,1331,7,0,[],0.0,0.0,0.0
arm-43fa322555,Franka Emika,FR3,development,1000,True,126586,1000,1432,8,0,[],0.04280797505703035,0.16681590448694872,0.19245625581910547
arm-43fa322555,Franka Emika,FR3,development,5000,True,126586,5000,4993,8,0,[],0.02921463310857201,0.10878816699490067,0.12524698580392765
arm-43fa322555,Franka Emika,FR3,development,10000,True,126586,10000,9993,8,0,[],0.025001299918439662,0.09316481864812881,0.11135563348381491
arm-07307859e2,Franka Emika,Panda,development,1000,True,134288,1000,1469,10,0,[],0.04458658921738907,0.17858190038602975,0.19942420549660453
arm-07307859e2,Franka Emika,Panda,development,5000,True,134288,5000,4990,10,0,[],0.030461730652476617,0.11264920436325603,0.12683619235315946
arm-07307859e2,Franka Emika,Panda,development,10000,True,134288,10000,9993,10,0,[],0.026278265306145562,0.09539624141055637,0.12682608987769697
arm-dcc2b0ce1e,KUKA,KR 10 R1100 sixx,development,1000,True,59781,1000,4754,7,0,[],0.037025872523546055,0.12838678509146753,0.26213420801670495
arm-dcc2b0ce1e,KUKA,KR 10 R1100 sixx,development,5000,True,59781,5000,5804,7,0,[],0.028172453873651047,0.07988976136326455,0.18273503537564062
arm-dcc2b0ce1e,KUKA,KR 10 R1100 sixx,development,10000,True,59781,10000,10098,7,0,[],0.02412768159242575,0.0688055176124099,0.1756078347095972
arm-a751040684,KUKA,KR 10 R1420,development,1000,True,112863,1000,5567,7,0,[],0.03351522946074134,0.13197184533333478,0.2780483189144879
arm-a751040684,KUKA,KR 10 R1420,development,5000,True,112863,5000,6731,7,0,[],0.027565210893143805,0.103709430747911,0.23018567866824344
arm-a751040684,KUKA,KR 10 R1420,development,10000,True,112863,10000,9991,7,0,[],0.023888305591119624,0.07422377836768951,0.22154410034242603
arm-3ce41d3c31,KUKA,KR 10 R900-2,development,1000,True,20336,1000,992,7,0,[],0.025234752191553574,0.07295577268931706,0.15077201730036488
arm-3ce41d3c31,KUKA,KR 10 R900-2,development,5000,True,20336,5000,4995,7,0,[],0.023187802170268657,0.07519755117443867,0.13720923735910845
arm-3ce41d3c31,KUKA,KR 10 R900-2,development,10000,True,20336,10000,9995,7,0,[],0.023719181181818014,0.07023176841377955,0.15359322009936638
arm-79c861f26a,KUKA,KR 150 R3100-2,validation,1000,True,59707,1000,3449,7,0,[],0.02692794676387827,0.1251614622897564,0.2843977057043855
arm-79c861f26a,KUKA,KR 150 R3100-2,validation,5000,True,59707,5000,5091,7,0,[],0.023389253969075763,0.09998871740404935,0.24576965103912252
arm-79c861f26a,KUKA,KR 150 R3100-2,validation,10000,True,59707,10000,9992,7,0,[],0.02025220761503815,0.06695476847334102,0.2397641253378448
arm-a72160b62d,KUKA,KR 150-2,validation,1000,True,51117,1000,3484,7,0,[],0.04381022524423254,0.18754537170221394,0.2971349160978249
arm-a72160b62d,KUKA,KR 150-2,validation,5000,True,51117,5000,6459,7,0,[],0.03396881169431164,0.15293939387759897,0.2996056147667801
arm-a72160b62d,KUKA,KR 150-2,validation,10000,True,51117,10000,10516,7,0,[],0.02849706142774779,0.11486008016912518,0.28308821145073343
arm-a49344adee,KUKA,KR 16-2,development,1000,True,88185,1000,26995,7,0,[],0.024219157942209076,0.08269445540736478,0.22633261923830075
arm-a49344adee,KUKA,KR 16-2,development,5000,True,88185,5000,26995,7,0,[],0.023487356145507676,0.07889280510175321,0.2342438456459256
arm-a49344adee,KUKA,KR 16-2,development,10000,True,88185,10000,26995,7,0,[],0.024277049460653687,0.08583135566155019,0.2302732506959721
arm-1d928e951e,KUKA,KR 3 R540,validation,1000,True,74572,1000,1247,7,0,[],0.0346450767430278,0.12034120555542817,0.17833286587944908
arm-1d928e951e,KUKA,KR 3 R540,validation,5000,True,74572,5000,4996,7,0,[],0.024124850046815503,0.06932910508256661,0.1350730979718535
